Objective,Name,Country,Longitude,Latitude,Elevation,Year,N_plots,Species,Structure,Age,Data,Organisation,Website,Responsible,Mail,References
Regeneration of mountain mixed forests depending on on basal area of remaining stand,RUH 110,Germany,12.703755555555555,47.716825,880,1953,2,Picea abies; Abies alba; Fagus sylvatica,uneven-aged,NA,dbh; height; crown base; crown radius; tree coordinates; regeneration,"<a href='http://www.forestgrowth.wzw.tum.de/index.php?id=main0&L=1' target='_blank'>TUM Munich, Chair of Forest growth and yield science</a>",http://www.forestgrowth.wzw.tum.de/index.php?id=main0&L=1,Enno Uhl,enno.uhl@lrz.tum.de,NA
Growth of selection forests with group selection,RUH 113,Germany,12.701869444444444,47.71477222222222,950,1961,2,Picea abies; Abies alba; Fagus sylvatica,uneven-aged,NA,dbh; height; crown base; crown radius; tree coordinates; regeneration,"<a href='http://www.forestgrowth.wzw.tum.de/index.php?id=main0&L=1' target='_blank'>TUM Munich, Chair of Forest growth and yield science</a>",http://www.forestgrowth.wzw.tum.de/index.php?id=main0&L=1,Enno Uhl,enno.uhl@lrz.tum.de,NA
Monitoring of natural dynamics in mountain mixed forests,PAR 115,Germany,11.129375000000001,47.44743333333333,1200,1954,1,Picea abies; Abies alba; Fagus sylvatica,even-aged,222,dbh; height; crown base; crown radius; tree coordinates; regeneration,"<a href='http://www.forestgrowth.wzw.tum.de/index.php?id=main0&L=1' target='_blank'>TUM Munich, Chair of Forest growth and yield science</a>",http://www.forestgrowth.wzw.tum.de/index.php?id=main0&L=1,Enno Uhl,enno.uhl@lrz.tum.de,NA
Growth of selection forests with group selection,KRE 824,Germany,11.688644444444444,47.63196666666667,1250,1994,1,Picea abies; Abies alba; Fagus sylvatica,uneven-aged,NA,dbh; height; crown base; crown radius; tree coordinates; regeneration,"<a href='http://www.forestgrowth.wzw.tum.de/index.php?id=main0&L=1' target='_blank'>TUM Munich, Chair of Forest growth and yield science</a>",http://www.forestgrowth.wzw.tum.de/index.php?id=main0&L=1,Enno Uhl,enno.uhl@lrz.tum.de,NA
Regeneration of mountain mixed forests depending on thinning intensity,KRE 122,Germany,11.718902777777778,47.65313611111111,1280,1973,4,Picea abies; Abies alba; Fagus sylvatica,even-aged,155,dbh; height; crown base; crown radius; tree coordinates; regeneration,"<a href='http://www.forestgrowth.wzw.tum.de/index.php?id=main0&L=1' target='_blank'>TUM Munich, Chair of Forest growth and yield science</a>",http://www.forestgrowth.wzw.tum.de/index.php?id=main0&L=1,Enno Uhl,enno.uhl@lrz.tum.de,"Pretzsch H, Biber P, Uhl E, Dauber E (2015) Long-term stand dynamics of managed spruce-fir-beech mountain forests in Central Europe: structure, productivity and regeneration success. Forestry 88(4):407-428"
Regeneration of mountain mixed forests depending on thinning intensity,KRE 123,Germany,11.761077777777778,47.644419444444445,1080,1975,3,Picea abies; Abies alba; Fagus sylvatica,even-aged,223,dbh; height; crown base; crown radius; tree coordinates; regeneration,"<a href='http://www.forestgrowth.wzw.tum.de/index.php?id=main0&L=1' target='_blank'>TUM Munich, Chair of Forest growth and yield science</a>",http://www.forestgrowth.wzw.tum.de/index.php?id=main0&L=1,Enno Uhl,enno.uhl@lrz.tum.de,"Pretzsch H, Biber P, Uhl E, Dauber E (2015) Long-term stand dynamics of managed spruce-fir-beech mountain forests in Central Europe: structure, productivity and regeneration success. Forestry 88(4):407-428"
Regeneration of mountain mixed forests depending on thinning intensity,KRE 124,Germany,11.811194444444444,47.60803333333333,960,1975,2,Picea abies; Abies alba; Fagus sylvatica,even-aged,225,dbh; height; crown base; crown radius; tree coordinates; regeneration,"<a href='http://www.forestgrowth.wzw.tum.de/index.php?id=main0&L=1' target='_blank'>TUM Munich, Chair of Forest growth and yield science</a>",http://www.forestgrowth.wzw.tum.de/index.php?id=main0&L=1,Enno Uhl,enno.uhl@lrz.tum.de,"Pretzsch H, Biber P, Uhl E, Dauber E (2015) Long-term stand dynamics of managed spruce-fir-beech mountain forests in Central Europe: structure, productivity and regeneration success. Forestry 88(4):407-428"
Regeneration of mountain mixed forests depending on thinning intensity,KRE 125,Germany,11.627202777777779,47.59862777777778,1040,1975,3,Picea abies; Abies alba; Fagus sylvatica,even-aged,200,dbh; height; crown base; crown radius; tree coordinates; regeneration,"<a href='http://www.forestgrowth.wzw.tum.de/index.php?id=main0&L=1' target='_blank'>TUM Munich, Chair of Forest growth and yield science</a>",http://www.forestgrowth.wzw.tum.de/index.php?id=main0&L=1,Enno Uhl,enno.uhl@lrz.tum.de,"Pretzsch H, Biber P, Uhl E, Dauber E (2015) Long-term stand dynamics of managed spruce-fir-beech mountain forests in Central Europe: structure, productivity and regeneration success. Forestry 88(4):407-428"
Regeneration of mountain mixed forests depending on thinning intensity,KRE 126,Germany,11.709624999999999,47.62366111111111,850,1975,2,Picea abies; Abies alba; Fagus sylvatica,even-aged,195,dbh; height; crown base; crown radius; tree coordinates; regeneration,"<a href='http://www.forestgrowth.wzw.tum.de/index.php?id=main0&L=1' target='_blank'>TUM Munich, Chair of Forest growth and yield science</a>",http://www.forestgrowth.wzw.tum.de/index.php?id=main0&L=1,Enno Uhl,enno.uhl@lrz.tum.de,"Pretzsch H, Biber P, Uhl E, Dauber E (2015) Long-term stand dynamics of managed spruce-fir-beech mountain forests in Central Europe: structure, productivity and regeneration success. Forestry 88(4):407-428"
Regeneration of mountain mixed forests depending on thinning intensity,KRE 120,Germany,11.661272222222223,47.601219444444446,1090,1973,4,Picea abies; Abies alba; Fagus sylvatica,even-aged,177,dbh; height; crown base; crown radius; tree coordinates; regeneration,"<a href='http://www.forestgrowth.wzw.tum.de/index.php?id=main0&L=1' target='_blank'>TUM Munich, Chair of Forest growth and yield science</a>",http://www.forestgrowth.wzw.tum.de/index.php?id=main0&L=1,Enno Uhl,enno.uhl@lrz.tum.de,"Pretzsch H, Biber P, Uhl E, Dauber E (2015) Long-term stand dynamics of managed spruce-fir-beech mountain forests in Central Europe: structure, productivity and regeneration success. Forestry 88(4):407-428"
Unknown,INIA-CU8,Spain,-2.006666666666667,40.37555555555556,1400,1964,1,Pinus nigra,even-aged,104,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Miren del Rio,delrio@inia.es,"Martín-Benito D, Gea-Izquierdo G, Río M, Cañellas I (2008). Long-term trends in dominant-height growth of black pine using dynamic models. Forest Ecology and Management 256: 1230-1238; Martin-Benito D, Kint V, Río M, Muys B, Cañellas I (2011). Growth responses of West-Mediterranean Pinus nigra to climate change are modulated by competition and productivity: Past trends and future perspectives. Forest Ecology and Management 262: 1030-1040; Mora JV, Río M, Bravo-Oviedo A. (2012). Dynamic growth and yield model for Black pine stands in Spain. Forest Systems 21: 439-445."
Unknown,INIA-CU9,Spain,-1.9858333333333333,40.348888888888894,1440,1964,1,Pinus nigra,even-aged,99,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Miren del Rio,delrio@inia.es,"Martín-Benito D, Gea-Izquierdo G, Río M, Cañellas I (2008). Long-term trends in dominant-height growth of black pine using dynamic models. Forest Ecology and Management 256: 1230-1238; Martin-Benito D, Kint V, Río M, Muys B, Cañellas I (2011). Growth responses of West-Mediterranean Pinus nigra to climate change are modulated by competition and productivity: Past trends and future perspectives. Forest Ecology and Management 262: 1030-1040; Mora JV, Río M, Bravo-Oviedo A. (2012). Dynamic growth and yield model for Black pine stands in Spain. Forest Systems 21: 439-445."
Unknown,INIA-CU11,Spain,-1.9777777777777779,40.465833333333336,1450,1964,1,Pinus nigra,even-aged,86,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Miren del Rio,delrio@inia.es,"Martín-Benito D, Gea-Izquierdo G, Río M, Cañellas I (2008). Long-term trends in dominant-height growth of black pine using dynamic models. Forest Ecology and Management 256: 1230-1238; Martin-Benito D, Kint V, Río M, Muys B, Cañellas I (2011). Growth responses of West-Mediterranean Pinus nigra to climate change are modulated by competition and productivity: Past trends and future perspectives. Forest Ecology and Management 262: 1030-1040; Mora JV, Río M, Bravo-Oviedo A. (2012). Dynamic growth and yield model for Black pine stands in Spain. Forest Systems 21: 439-445."
Unknown,INIA-CU13,Spain,-2.0036111111111112,40.401666666666664,1055,1964,1,Pinus nigra,even-aged,84,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Miren del Rio,delrio@inia.es,"Martín-Benito D, Gea-Izquierdo G, Río M, Cañellas I (2008). Long-term trends in dominant-height growth of black pine using dynamic models. Forest Ecology and Management 256: 1230-1238; Martin-Benito D, Kint V, Río M, Muys B, Cañellas I (2011). Growth responses of West-Mediterranean Pinus nigra to climate change are modulated by competition and productivity: Past trends and future perspectives. Forest Ecology and Management 262: 1030-1040; Mora JV, Río M, Bravo-Oviedo A. (2012). Dynamic growth and yield model for Black pine stands in Spain. Forest Systems 21: 439-445."
Unknown,INIA-CU14,Spain,-1.9830555555555556,40.394999999999996,1073,1964,1,Pinus nigra,even-aged,98,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Miren del Rio,delrio@inia.es,"Martín-Benito D, Gea-Izquierdo G, Río M, Cañellas I (2008). Long-term trends in dominant-height growth of black pine using dynamic models. Forest Ecology and Management 256: 1230-1238; Martin-Benito D, Kint V, Río M, Muys B, Cañellas I (2011). Growth responses of West-Mediterranean Pinus nigra to climate change are modulated by competition and productivity: Past trends and future perspectives. Forest Ecology and Management 262: 1030-1040; Mora JV, Río M, Bravo-Oviedo A. (2012). Dynamic growth and yield model for Black pine stands in Spain. Forest Systems 21: 439-445."
Unknown,INIA-TE1,Spain,-0.8947222222222222,40.03916666666667,1200,1964,1,Pinus nigra,even-aged,167,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Miren del Rio,delrio@inia.es,"Palahi M, Grau JM (2003) Preliminary site index model and individual.tree growth and mortality models for black pine (Pinus nigra Arn.) in Catalonia (Spain). Investigacion Agraria: Sistemas y Recursos Forestales 12: 137-148; Martín-Benito D, Gea-Izquierdo G, Río M, Cañellas I (2008). Long-term trends in dominant-height growth of black pine using dynamic models. Forest Ecology and Management 256: 1230-1238; Martin-Benito D, Kint V, Río M, Muys B, Cañellas I (2011). Growth responses of West-Mediterranean Pinus nigra to climate change are modulated by competition and productivity: Past trends and future perspectives. Forest Ecology and Management 262: 1030-1040; Mora JV, Río M, Bravo-Oviedo A. (2012). Dynamic growth and yield model for Black pine stands in Spain. Forest Systems 21: 439-445."
Unknown,INIA-TE05,Spain,-0.7247222222222223,40.32527777777778,1460,1964,1,Pinus nigra,even-aged,145,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Miren del Rio,delrio@inia.es,"Palahi M, Grau JM (2003) Preliminary site index model and individual.tree growth and mortality models for black pine (Pinus nigra Arn.) in Catalonia (Spain). Investigacion Agraria: Sistemas y Recursos Forestales 12: 137-148; Martín-Benito D, Gea-Izquierdo G, Río M, Cañellas I (2008). Long-term trends in dominant-height growth of black pine using dynamic models. Forest Ecology and Management 256: 1230-1238; Martin-Benito D, Kint V, Río M, Muys B, Cañellas I (2011). Growth responses of West-Mediterranean Pinus nigra to climate change are modulated by competition and productivity: Past trends and future perspectives. Forest Ecology and Management 262: 1030-1040; Mora JV, Río M, Bravo-Oviedo A. (2012). Dynamic growth and yield model for Black pine stands in Spain. Forest Systems 21: 439-445."
Unknown,INIA-T4,Spain,0.2177777777777778,40.75277777777778,995,1964,1,Pinus nigra,even-aged,98,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Miren del Rio,delrio@inia.es,"Palahi M, Grau JM (2003) Preliminary site index model and individual.tree growth and mortality models for black pine (Pinus nigra Arn.) in Catalonia (Spain). Investigacion Agraria: Sistemas y Recursos Forestales 12: 137-148; Martín-Benito D, Gea-Izquierdo G, Río M, Cañellas I (2008). Long-term trends in dominant-height growth of black pine using dynamic models. Forest Ecology and Management 256: 1230-1238; Martin-Benito D, Kint V, Río M, Muys B, Cañellas I (2011). Growth responses of West-Mediterranean Pinus nigra to climate change are modulated by competition and productivity: Past trends and future perspectives. Forest Ecology and Management 262: 1030-1040; Mora JV, Río M, Bravo-Oviedo A. (2012). Dynamic growth and yield model for Black pine stands in Spain. Forest Systems 21: 439-445."
Unknown,INIA-T6,Spain,0.1825,40.75055555555556,700,1964,1,Pinus nigra,even-aged,104,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Miren del Rio,delrio@inia.es,"Palahi M, Grau JM (2003) Preliminary site index model and individual.tree growth and mortality models for black pine (Pinus nigra Arn.) in Catalonia (Spain). Investigacion Agraria: Sistemas y Recursos Forestales 12: 137-148; Martín-Benito D, Gea-Izquierdo G, Río M, Cañellas I (2008). Long-term trends in dominant-height growth of black pine using dynamic models. Forest Ecology and Management 256: 1230-1238; Martin-Benito D, Kint V, Río M, Muys B, Cañellas I (2011). Growth responses of West-Mediterranean Pinus nigra to climate change are modulated by competition and productivity: Past trends and future perspectives. Forest Ecology and Management 262: 1030-1040; Mora JV, Río M, Bravo-Oviedo A. (2012). Dynamic growth and yield model for Black pine stands in Spain. Forest Systems 21: 439-445."
Unknown,INIA-T7,Spain,0.21805555555555556,40.75111111111111,700,1964,1,Pinus nigra,even-aged,160,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Miren del Rio,delrio@inia.es,"Palahi M, Grau JM (2003) Preliminary site index model and individual.tree growth and mortality models for black pine (Pinus nigra Arn.) in Catalonia (Spain). Investigacion Agraria: Sistemas y Recursos Forestales 12: 137-148; Martín-Benito D, Gea-Izquierdo G, Río M, Cañellas I (2008). Long-term trends in dominant-height growth of black pine using dynamic models. Forest Ecology and Management 256: 1230-1238; Martin-Benito D, Kint V, Río M, Muys B, Cañellas I (2011). Growth responses of West-Mediterranean Pinus nigra to climate change are modulated by competition and productivity: Past trends and future perspectives. Forest Ecology and Management 262: 1030-1040; Mora JV, Río M, Bravo-Oviedo A. (2012). Dynamic growth and yield model for Black pine stands in Spain. Forest Systems 21: 439-445."
Unknown,INIA-Jp1,Spain,-2.5530555555555554,38.373333333333335,1210,1966,1,Pinus pinaster,even-aged,112,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Rio, M., Montero, G., 2004. Site index curves and growth model for Mediterranean maritime pine (Pinus pinaster Ait.) in Spain. Forest Ecology and Management 201, 187-197; Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98; Bravo-Oviedo, A., Río, M., Montero, G., 2007. Geographic variation and parameter assessment in generalized algebraic difference site index modelling. Forest Ecology and Management 247, 107-119; Bravo-Oviedo, A., Tomé, M., Bravo, F., Montero, G., Río, M., 2008. Dominant height growth equations including site attributes in the generalized algebraic difference approach. Canadian Journal of Forest Research 38, 2348-2358; Bravo-Oviedo, A., Gallardo-Andrés, C., del Río, M., Montero, G., 2010. Regional changes of Pinus pinaster site index in Spain using a climate-based dominant height model. Canadian Journal of Forest Research 40, 2036-2048; Bravo-Oviedo, A., Roig, S., Bravo, F., Montero, G., Rio, M., 2011. Environmental variability and its relationship to site index in Mediterranean maritine pine. Forest Systems 20, 50-64."
Unknown,INIA-Jp2,Spain,-2.5580555555555553,38.37722222222222,1090,1966,1,Pinus pinaster,even-aged,100,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Rio, M., Montero, G., 2004. Site index curves and growth model for Mediterranean maritime pine (Pinus pinaster Ait.) in Spain. Forest Ecology and Management 201, 187-197; Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98; Bravo-Oviedo, A., Río, M., Montero, G., 2007. Geographic variation and parameter assessment in generalized algebraic difference site index modelling. Forest Ecology and Management 247, 107-119; Bravo-Oviedo, A., Tomé, M., Bravo, F., Montero, G., Río, M., 2008. Dominant height growth equations including site attributes in the generalized algebraic difference approach. Canadian Journal of Forest Research 38, 2348-2358; Bravo-Oviedo, A., Gallardo-Andrés, C., del Río, M., Montero, G., 2010. Regional changes of Pinus pinaster site index in Spain using a climate-based dominant height model. Canadian Journal of Forest Research 40, 2036-2048; Bravo-Oviedo, A., Roig, S., Bravo, F., Montero, G., Rio, M., 2011. Environmental variability and its relationship to site index in Mediterranean maritine pine. Forest Systems 20, 50-64."
Unknown,INIA-Jp3,Spain,-2.5483333333333333,38.382222222222225,1070,1966,1,Pinus pinaster,even-aged,74,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Rio, M., Montero, G., 2004. Site index curves and growth model for Mediterranean maritime pine (Pinus pinaster Ait.) in Spain. Forest Ecology and Management 201, 187-197; Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98; Bravo-Oviedo, A., Río, M., Montero, G., 2007. Geographic variation and parameter assessment in generalized algebraic difference site index modelling. Forest Ecology and Management 247, 107-119; Bravo-Oviedo, A., Tomé, M., Bravo, F., Montero, G., Río, M., 2008. Dominant height growth equations including site attributes in the generalized algebraic difference approach. Canadian Journal of Forest Research 38, 2348-2358; Bravo-Oviedo, A., Gallardo-Andrés, C., del Río, M., Montero, G., 2010. Regional changes of Pinus pinaster site index in Spain using a climate-based dominant height model. Canadian Journal of Forest Research 40, 2036-2048; Bravo-Oviedo, A., Roig, S., Bravo, F., Montero, G., Rio, M., 2011. Environmental variability and its relationship to site index in Mediterranean maritine pine. Forest Systems 20, 50-64."
Unknown,INIA-Jp4,Spain,-2.5466666666666664,38.38361111111111,1040,1966,1,Pinus pinaster,even-aged,88,dbh; height,<a href='http://www.inia.es' target='_blank'>Spanish Institute for Agriculture and Food Research and Technology (INIA)</a>,http://www.inia.es,Ricardo Ruiz-Peinado,ruizpein@inia.es,"Bravo-Oviedo, A., Rio, M., Montero, G., 2004. Site index curves and growth model for Mediterranean maritime pine (Pinus pinaster Ait.) in Spain. Forest Ecology and Management 201, 187-197; Bravo-Oviedo, A., Sterba, H., del Rio, M., Bravo, F., 2006. Competition-induced mortality for Mediterranean Pinus pinaster Ait. and P. sylvestris L. Forest Ecology and Management 222, 88-98; Bravo-Oviedo, A., Río, M., Montero, G., 2007. Geographic variation and parameter assessment in generalized algebraic difference site index modelling. Forest Ecology and Management 247, 107-119; Bravo-Oviedo, A., Tomé, M., Bravo, F., Montero, G., Río, M., 2008. Dominant height growth equations including site attributes in the generalized algebraic difference approach. Canadian Journal of Forest Research 38, 2348-2358; Bravo-Oviedo, A., Gallardo-Andrés, C., del Río, M., Montero, G., 2010. Regional changes of Pinus pinaster site index in Spain using a climate-based dominant height model. Canadian Journal of Forest Research 40, 2036-2048; Bravo-Oviedo, A., Roig, S., Bravo, F., Montero, G., Rio, M., 2011. Environmental variability and its relationship to site index in Mediterranean maritine pine. Forest Systems 20, 50-64."
